Date,SPY_forecast,AMZN_forecast
2023-01-03,0.3524484519137949,0.39830913768519083
2023-01-04,0.05074128108311605,-0.2975744223162921
2023-01-05,0.42278086001037407,0.1860637078487946
2023-01-06,0.24636458266420683,-0.09813876696104946
2023-01-09,0.29503929382432104,-0.22417314071967953
2023-01-10,0.2880042418092767,0.1106829021466476
2023-01-11,0.15608747127123668,0.029257272423652468
2023-01-12,0.1514923701640053,-0.04826449988002068
2023-01-13,0.6071145128743188,0.11854945470503345
2023-01-17,0.2905207422886624,-0.1485314870402283
2023-01-18,0.5153189151196238,-0.11454484218341421
2023-01-19,0.4174449440518286,0.0831285846412967
2023-01-20,0.028367353868645973,0.03069625422115098
2023-01-23,0.36181780290588816,-0.037619713643192124
2023-01-24,0.2829137485846557,0.23751459905033506
2023-01-25,-0.17888474331029572,-0.34805519731026796
2023-01-26,0.2542381955869803,0.13138776258965207
2023-01-27,0.108487516062967,-0.3224783655410671
2023-01-30,-0.10933130992477012,-0.20689003544419027
2023-01-31,0.33473369253886776,-0.10726311137244825
2023-02-01,0.04343410747109893,-0.3116551709490898
2023-02-02,0.44557580021122223,0.11495976115474466
2023-02-03,0.44324027675346406,-0.0910407478183253
2023-02-06,0.18538644123375783,0.02915967705949512
2023-02-07,-0.35444587012439643,0.1233092483792166
2023-02-08,0.18929982684051874,-0.08373230556823283
2023-02-09,0.6668926031684436,0.142856787559906
2023-02-10,0.18472713490323608,0.18898643302845383
2023-02-13,0.1416423427580601,0.3353819431550811
2023-02-14,-0.3012724804366015,-0.22132768451756665
2023-02-15,0.7533387973518686,0.2691223697450982
2023-02-16,0.11714748625364835,-0.21028076748696975
2023-02-17,0.04722780456870624,0.02894574536032365
2023-02-21,0.3704741292335188,-0.4178097322265427
2023-02-22,0.5414768608977389,0.3724813324020399
2023-02-23,0.031682169295611615,-0.004283949879412524
2023-02-24,0.48438643979415724,0.24864425334842774
2023-02-27,0.19173679379503997,-0.06976107776102373
2023-02-28,0.5198163147894526,0.16897931190273874
2023-03-01,-0.35947533984892655,-0.0223726715912016
2023-03-02,0.5155543986772188,0.07675853331342591
2023-03-03,0.45827256584644466,0.09925759878967146
2023-03-06,-0.1468942681519711,-0.26028553756112466
2023-03-07,0.2613000579634159,0.1827426382433931
2023-03-08,0.32538275179840026,0.07012582771036284
2023-03-09,0.22595513105217446,-0.09403589205915598
2023-03-10,0.4790910038706813,0.048666018230885344
2023-03-13,0.3154838137613635,-0.04736145070320716
2023-03-14,0.43286845109789257,-0.07515642086883467
2023-03-15,0.4355638156647814,0.10812532139757827
2023-03-16,0.34553659949474974,0.0699087688521656
2023-03-17,0.14682325380743566,-0.08716117983399893
2023-03-20,0.4638259479865094,0.047619800041371264
2023-03-21,-0.2713688213751089,0.00472273055630256
2023-03-22,0.25296213090042496,-0.3332987126847376
2023-03-23,0.7113517184480644,0.02588719107308696
2023-03-24,0.265519176859042,-0.09427535278465018
2023-03-27,0.31337559514120494,0.19378217242595122
2023-03-28,0.07140377199380787,0.0012762841626480126
2023-03-29,0.6991133139632033,0.05787792171214733
2023-03-30,-0.20070609982338755,-0.4377838068238083
2023-03-31,0.31045504434128457,-0.10686502523624225
2023-04-03,0.16519918525990537,0.053618246981182185
2023-04-04,-0.18850775065933387,-0.3254079698680215
2023-04-05,0.2960699692379761,0.30524707713528443
2023-04-06,0.16291259707003358,-0.11325010633180155
2023-04-10,0.5242340985518844,0.09357766322528895
2023-04-11,0.21316566380722327,0.0406880374396596
2023-04-12,0.11596827177343964,0.18518677480091633
2023-04-13,0.29478190309012464,0.19297760253600615
2023-04-14,0.28101187756758195,-0.07306968723718578
2023-04-17,0.08738140766273304,-0.14357310784973978
2023-04-18,0.2700858280268132,0.04807455530467235
2023-04-19,0.11495516340405092,0.06258752260882176
2023-04-20,0.12167784203825929,-0.013638455230114128
2023-04-21,0.33547384820461074,-0.08974140498160851
2023-04-24,0.5266140388208352,0.04021059598793305
2023-04-25,0.08033453065360084,-0.1546145359148498
2023-04-26,0.2090125182123241,0.14971963731328597
2023-04-27,0.008996672669559964,-0.28126884933852075
2023-04-28,0.6377766525708056,0.0231705456095865
2023-05-01,-0.07537935174041231,0.007067878415675747
2023-05-02,0.24523066340609978,0.1877807974145365
2023-05-03,0.3057327287012682,-0.0849323290017565
2023-05-04,0.2818718264283662,-0.024175313512585832
2023-05-05,0.0803460916840511,0.09251357971260837
2023-05-08,0.17873770418432125,-0.046968360547596455
2023-05-09,0.5043371370999697,-0.06985449096550554
2023-05-10,0.16352934999841018,0.015718830250457994
2023-05-11,0.497250858316135,-0.08555833301258378
2023-05-12,0.2688693071067341,-0.039689867494699854
2023-05-15,0.018342166437469245,-0.10284463202228993
2023-05-16,0.2644445560080522,-0.21236455400819967
2023-05-17,0.5482824104856567,0.12790927686168252
2023-05-18,0.005606839081752092,-0.07421354333173431
2023-05-19,0.045441000585108006,-0.02396718558258558
2023-05-22,0.5495702418028623,0.05770742235047302
2023-05-23,0.15645716090761452,0.04555930488752369
2023-05-24,0.06333702121120861,-0.13742486385170474
2023-05-25,0.4868355457536929,-0.1372083812140946
2023-05-26,0.4509345846453792,-0.17825126973528344
2023-05-30,0.46996151469176567,0.11604982356160488
2023-05-31,0.2822797895082652,-0.049365270245716776
2023-06-01,0.038289982174959034,-0.0934779960382945
2023-06-02,0.3104373283360424,-0.09427362925150344
2023-06-05,0.3524309959733029,-0.2094445310455918
2023-06-06,0.15397852597107736,-0.02717170297091301
2023-06-07,0.21833696763248595,0.009163679617844091
2023-06-08,0.05544660947244909,0.12517805521141956
2023-06-09,0.0639336828723742,-0.08337392169262557
2023-06-12,0.43619075248568495,-0.015747493372351776
2023-06-13,0.3098230122363335,-0.1036901463842273
2023-06-14,0.14592348523795945,-0.038051832079021436
2023-06-15,0.3296743417168761,0.10596820343676183
2023-06-16,-0.11501388455214621,-0.15015834841653466
2023-06-20,-0.04832763872014397,-0.10341941150311224
2023-06-21,0.5289161248839254,0.03626879992696674
2023-06-22,-0.044440442482562785,-0.2385117438716245
2023-06-23,0.41510103777213647,0.09992408180278271
2023-06-26,0.16698645733649883,0.15198672910800795
2023-06-27,-0.027018398243128926,-0.07019351748520912
2023-06-28,0.3083140303437227,0.09496970302147056
2023-06-29,0.17309168602092753,-0.19376686530925222
2023-06-30,0.2398851099014706,0.05652278611343107
2023-07-03,-0.009830948011258936,0.05100653585593881
2023-07-05,0.3058445021041726,0.08323498544749595
2023-07-06,0.1716435268948726,-0.11228135656918938
2023-07-07,0.061525492364397916,-0.06577383468652925
2023-07-10,0.4587537934990841,0.02325864098421922
2023-07-11,0.12432104328081718,-0.1142622975962592
2023-07-12,0.4064078490062593,0.015985286402966786
2023-07-13,0.23595282869145282,0.0745797073396399
2023-07-14,0.11632250332414201,-0.14804091972593578
2023-07-17,0.2510602736833045,0.025592317512120506
2023-07-18,0.2259606153254457,0.04090510287991275
2023-07-19,-0.3041326556171268,-0.1596692025882878
2023-07-20,0.29799490343943125,0.10683633340380978
2023-07-21,0.2997490171205423,-0.03878858346245885
2023-07-24,0.2314848583368768,0.12302962420572686
2023-07-25,0.17113084436834494,0.11010888059566035
2023-07-26,0.3134350478526118,0.03525168904500458
2023-07-27,0.377592542456361,0.08253715508306791
2023-07-28,0.19452496894533874,-0.0034517153761005155
2023-07-31,0.19104332300069782,-0.13700176073717024
2023-08-01,0.10297654253897054,-0.05538694966428955
2023-08-02,0.2583605885219359,-0.00906541279862549
2023-08-03,-0.01632354322162311,0.12351205480143088
2023-08-04,0.2164136647190965,-0.017316620524422902
2023-08-07,0.633953012961693,-0.296091554246185
2023-08-08,0.5343770872677425,-0.06513032870596631
2023-08-09,-0.005052312096697561,-0.09004081761684804
2023-08-10,0.11882903815063549,0.23680081742301828
2023-08-11,0.0014463466471752488,-0.3709019166430443
2023-08-14,0.7216193506943521,-0.03869471244616727
2023-08-15,0.06902676996306986,-0.05875693450756419
2023-08-16,0.46323208432194785,0.05653003539842555
2023-08-17,0.19243255227354358,0.02808694572363249
2023-08-18,0.46059668819590555,-0.019538039791708074
2023-08-21,0.19446922410886766,-0.0875017477980386
2023-08-22,0.3271288915880053,-0.18508841038555454
2023-08-23,0.3414472590645684,-0.09743199968773851
2023-08-24,0.44703332791985395,-0.13590811605952163
2023-08-25,0.1198951409186116,0.26042584292383875
2023-08-28,0.051484018890348225,-0.05611872953390405
2023-08-29,0.5207625394358989,-0.1306401017388109
2023-08-30,0.5922869255024776,-0.02276261109798363
2023-08-31,0.0795908333304856,-0.08730442154112637
2023-09-01,0.20161415072210448,0.3600889440561769
2023-09-05,0.2542753431674045,0.17368528194142954
2023-09-06,0.12768217773390644,-0.1734877960841213
2023-09-07,0.3829573934034344,0.024589833330018695
2023-09-08,0.3213562494816071,-0.042182968908091284
2023-09-11,0.251398758911402,0.09118875236494821
2023-09-12,0.3512151580025047,0.050182392152988184
2023-09-13,0.048572410417451604,-0.008011520768720245
2023-09-14,0.2727428404676772,-0.038120151119999855
2023-09-15,0.1650733812565424,-0.14780928170274849
2023-09-18,0.22052267552501822,0.08103397210022047
2023-09-19,0.20084314901621883,-0.058385915358920334
2023-09-20,0.43695825092211854,0.0787901116265599
2023-09-21,0.17559241758364694,-0.02343417015278865
2023-09-22,0.4262523544115431,0.16120112958519592
2023-09-25,-0.013424180617804815,-0.22856949374733818
2023-09-26,0.46876884781400874,-0.07720937059827311
2023-09-27,0.36751339356994284,0.2004666600243638
2023-09-28,0.12553195830041772,-0.10143588340618644
2023-09-29,0.2862997359044092,0.13886763071101954
2023-10-02,0.0721996876163031,-0.13331780278186342
2023-10-03,0.5209439802319736,0.020822622387743486
2023-10-04,0.04724089928772078,-0.004950134363264085
2023-10-05,0.01855294883616387,-0.06755897545870103
2023-10-06,0.6193486572678382,0.21736145198075768
2023-10-09,0.37586971122619006,-0.14468740860752646
2023-10-10,0.16243437914317663,0.17577581342589094
2023-10-11,0.10861702739700034,0.1557626915975542
2023-10-12,0.25001662814974074,-0.20174744526667138
2023-10-13,0.6936414996190825,0.3144958665525821
2023-10-16,-0.19725676300865377,-0.2812620654071973
2023-10-17,0.24404389238492796,0.11918772565420342
2023-10-18,0.36831299587288613,-0.10427363830852195
2023-10-19,0.3659911363856308,0.09584756188160444
2023-10-20,0.2507574172703705,0.21569861151737896
2023-10-23,0.2635199003589041,0.0923970900805458
2023-10-24,0.4910778721818442,0.07195027000782916
2023-10-25,0.29706962782234525,-0.23064925799081562
2023-10-26,0.1147720328927825,0.08837480656713122
2023-10-27,0.18748891659201095,0.2024471400938141
2023-10-30,0.5284933533982645,-0.13764340182557866
2023-10-31,0.17389916242583245,-0.3465224640532171
2023-11-01,0.2863735353379714,0.07763662754340812
2023-11-02,-0.19002791499747895,-0.30827944949386155
2023-11-03,0.32286398722070786,-0.1040348878506194
2023-11-06,0.46038477650538234,0.05509130525785076
2023-11-07,0.19309462011761466,-0.1433165893941122
2023-11-08,0.46338354653276465,-0.0017152142564318238
2023-11-09,0.11935579644531326,-0.07916507811713118
2023-11-10,0.23619519098746078,-0.0035736564359499594
2023-11-13,0.18956205142148302,0.09121508737358196
2023-11-14,0.08358243093927872,-0.005057164238016529
2023-11-15,-0.1306291761349579,-0.07138778504868865
2023-11-16,0.5737452078996604,0.026265533686909297
2023-11-17,0.1549081861731085,0.15943461216389315
2023-11-20,-0.006190000666872844,-0.05211787752943382
2023-11-21,0.39496505401622733,0.021078781211532237
2023-11-22,0.3838820741143365,-0.020965717011051325
2023-11-24,-0.28747000517265286,-0.02788697036532349
2023-11-27,0.377176657515675,0.16217098468618366
2023-11-28,0.02850056505763851,-0.02616105154577944
2023-11-29,0.17423042064023342,-0.05098568652825079
2023-11-30,0.4013867798175217,0.057850301175886056
2023-12-01,0.29811725523478927,-0.05930574812529043
2023-12-04,0.09643821441570156,0.06637802900894865
2023-12-05,0.2422417441257373,0.07819157435022925
2023-12-06,0.19491577697717458,-0.003585584648217165
2023-12-07,0.3020750937841134,-0.0033719229334412963
2023-12-08,0.2851719256357705,0.047612605437499074
2023-12-11,0.13152572836919973,-0.13504006888457573
2023-12-12,0.3220254945866157,0.03945069007514537
2023-12-13,0.3486205664099469,-0.0216319213640275
2023-12-14,0.11767321607590708,0.024339127876434538
2023-12-15,0.1690608573103276,-0.048372026121612524
2023-12-18,0.36806592743627925,0.08389402153900027
2023-12-19,0.07577962926160049,-0.26864749653333336
2023-12-20,0.06823540826532037,-0.02247587673431139
2023-12-21,0.3041793523476328,0.10986066383557509
2023-12-22,0.06439882964570967,-0.10816195545843586
2023-12-26,0.22341365820068793,0.03726607513769974
2023-12-27,0.359072178130332,0.002406595736316205
2023-12-28,0.14257086015551954,0.021125055093218548
2023-12-29,0.22517430827906224,0.055795016272417106
2024-01-02,0.2282698102817455,0.02772358514712248
2024-01-03,0.17318344507418923,0.01785472673847092
2024-01-04,0.21217316138773964,-0.009122482001203636
2024-01-05,0.4190138571967006,0.0555294451866076
2024-01-08,0.22847053918383406,0.06491211810946905
2024-01-09,0.29004446719752497,-0.08056883971908703
2024-01-10,0.5363879440911112,-0.004758142010328162
2024-01-11,0.20612740169393118,-0.08570700795859355
2024-01-12,-0.06948094335316073,-0.006925938455310532
2024-01-16,0.36840840249746315,-0.05944071443608238
2024-01-17,0.31296601147389796,-0.0023201815485140737
2024-01-18,0.3771106072162164,0.010780496153946908
2024-01-19,0.4689137023052369,0.1294396161059331
2024-01-22,0.2009457169061868,-0.006035663376554087
2024-01-23,0.26211888945199063,0.05389351066159665
2024-01-24,0.08617844233164301,-0.10994820801450739
2024-01-25,0.20474025273168606,-0.18474872885846028
2024-01-26,0.09523022849743114,-0.07845111334190052
2024-01-29,0.20590083222565,-0.08533952467834445
2024-01-30,0.06851189662312705,0.0007554376122579352
2024-01-31,0.4100290870979856,-0.017629417756004424
2024-02-01,0.29302688019679984,0.11738528240986311
2024-02-02,0.32759904662272826,-0.08578425249036385
2024-02-05,0.47206013765929683,-0.06260394829891991
2024-02-06,0.11154666554529401,-0.11950968387150092
2024-02-07,0.06055172534263464,-0.03595707281307533
2024-02-08,-0.11021774443170568,0.015349923317905084
2024-02-09,0.16324774984489324,-0.05236267537228861
2024-02-12,0.4269683304213013,0.027435804780247496
2024-02-13,0.24270267361620718,-0.06015048761393422
2024-02-14,0.19025565896610558,0.08363033303515657
2024-02-15,0.23016042127592776,-0.06056071092525669
2024-02-16,0.3567587483918363,0.01315154153878324
2024-02-20,-0.05290899965539938,-0.15035793453504906
2024-02-21,0.058664883374359066,-0.16243951948954363
2024-02-22,0.505973283940965,0.1477178767156753
2024-02-23,-0.125054947111651,-0.0582430242717415
2024-02-26,0.010499247455404091,-0.05719498102044952
2024-02-27,0.5915324334130538,0.10159047672841931
2024-02-28,0.03273336873092293,-0.2713849013222775
2024-02-29,-0.10232225312964448,0.07334409643916649
2024-03-01,0.23646384098469944,0.14029350470221644
2024-03-04,0.20894461661124733,-0.132467929030576
2024-03-05,0.2559726745630344,-0.04112897059104488
2024-03-06,0.3267496702896626,0.10589027404490443
2024-03-07,-0.1306197633757534,-0.17105308566640096
2024-03-08,0.2546722093697985,0.06734008935726536
2024-03-11,0.30216653285788414,0.008732248774192486
2024-03-12,0.10232385967007758,-0.092927534362155
2024-03-13,0.3528008803174428,0.08206992900601898
2024-03-14,0.23938513972641765,0.08467831677205458
2024-03-15,0.11200227090200103,-0.004017687873634024
2024-03-18,0.2535251573224741,0.012305040895319879
2024-03-19,0.016580573686906925,-0.09872540000400597
2024-03-20,0.4286151158551594,0.03345854519976072
2024-03-21,0.262252496048081,0.007451985334427097
2024-03-22,0.14919009437814126,0.04408510832115726
2024-03-25,0.11465518400232108,0.11333677366122911
2024-03-26,0.21915779954038345,-0.15840463711385713
2024-03-27,0.35564166065178765,0.07163207683794325
2024-03-28,0.016733406645547278,-0.048467520013552305
2024-04-01,0.4831244144313533,-0.008478838774769704
2024-04-02,0.3741941164510191,0.01216803023945591
2024-04-03,0.243191095801021,0.08380294430401605
2024-04-04,0.15174325555477666,-0.08247705354779611
2024-04-05,0.4221246953307026,0.007532186716552334
2024-04-08,0.004691060709475715,-0.3752174542313551
2024-04-09,0.28173022955549415,0.060212194454639816
2024-04-10,-0.004157739559405042,0.01282732289565501
2024-04-11,0.3840407798332866,0.023996519423757474
2024-04-12,0.3189211700851122,-0.05316466937266263
2024-04-15,0.311197327573544,-0.12953926688424383
2024-04-16,0.4261498477549194,0.08583489557332029
2024-04-17,0.1924602988246595,-0.26806496281935993
2024-04-18,0.42301128059508913,0.14631522800450703
2024-04-19,0.3718972111353453,0.02513947357838568
2024-04-22,0.4226411310658145,0.06869470663022617
2024-04-23,0.22553561482131665,-0.0903224632810906
2024-04-24,0.3659957311206535,-0.1228244283868761
2024-04-25,0.2612703359969933,0.012941550864962108
2024-04-26,0.21895986081363952,-0.05295419018303477
2024-04-29,0.0857719403229083,-0.06779980809147063
2024-04-30,0.11495401034748251,-0.24523335377380726
2024-05-01,0.49555499667257413,0.16304569870290547
2024-05-02,-0.011089329717572819,-0.2321689287785567
2024-05-03,0.308008717459734,-0.05419256764423145
2024-05-06,0.4083934151928715,-0.03408498759273299
2024-05-07,0.2950892617058493,-0.004331748568065714
2024-05-08,0.05726359509607161,0.08580913920704274
2024-05-09,0.019564001856305937,-0.08255429743961845
2024-05-10,0.33182569143196056,0.08330217897044725
2024-05-13,0.2550215945848021,-0.010060517222035251
2024-05-14,0.08548869947591371,0.08832418355344024
2024-05-15,0.10099976260117371,-0.022684566635270697
2024-05-16,0.46003407133890556,0.10721157611134655
2024-05-17,0.3001255357839548,0.16194152752042335
2024-05-20,-0.08850558439964144,-0.0718062689363924
2024-05-21,0.29391204323752507,-0.037108036342238596
2024-05-22,0.5220854559979504,0.022208789083694086
2024-05-23,0.09883818380629569,-0.04754049524484741
2024-05-24,0.13088806366388567,0.17415089586346605
2024-05-28,0.25223505047763284,0.15107314998387725
2024-05-29,0.21974567578194526,0.06809957042529509
2024-05-30,0.30629091222955096,0.0327894273285044
2024-05-31,0.18305617105964928,0.05260952949045768
2024-06-03,0.1345756605390919,0.053226476276375
2024-06-04,0.38413535639024504,0.11202265873494766
2024-06-05,0.2083130623903538,-0.0919025378452147
2024-06-06,0.340124088798065,0.047902770343966866
2024-06-07,0.1991495780778514,0.019460236246250477
2024-06-10,0.1514746481962728,-0.02855561501792926
2024-06-11,0.2315146911639031,-0.09984766788999926
2024-06-12,0.17993402782669657,-0.0933602448586603
2024-06-13,0.2181529284417744,-0.07493582693164517
2024-06-14,0.31299729152492545,-0.005116929652965468
2024-06-17,0.2796135449817863,0.08914300453769176
2024-06-18,0.2851188808274511,0.09784030303596329
2024-06-20,0.17880130013899798,-0.04813399444850899
2024-06-21,0.4528131197179674,-0.05752701068029309
2024-06-24,0.02144803426274836,-0.1567621662033575
2024-06-25,0.0714918761106241,0.08123699887822874
2024-06-26,0.16330788103737917,0.05019753737175393
2024-06-27,0.36501036889615196,-0.06885903463191452
2024-06-28,0.4950083672381925,-0.11341445346035402
